update, mean_fitness, min_fitness, max_fitness, inferiority, num_genotypes, total_orgs, ave_depth, num_roots, mrca_depth, diversity, phylogenetic_diversity, mean_pairwise_distance, mean_evolutionary_distinctiveness, min_evolutionary_distinctiveness, max_evolutionary_distinctiveness, phenotypic_richness, phenotypic_entropy, niche_width_mean, niche_width_min, niche_width_max, always_used_mean, always_used_min, always_used_max, sometimes_used_mean, sometimes_used_min, sometimes_used_max, failed_to_reproduce, num_orgs,seed,selection,sel_param
330,-8263.03,-4033290.0,0.170602,-48434.6,469,500,224.43,1,194,8.83503,15215,56.4235,20.7014,11,48,25,0.906173, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
340,-8229.91,-4033300.0,0.16958800000000002,-48528.8,471,500,231.014,1,194,8.84205,18507,67.4209,25.9406,18,38,25,0.902532, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
350,-20698.5,-4091630.0,0.16951300000000002,-122106.0,472,500,238.054,1,194,8.853069999999999,22027,77.6571,30.9723,21,51,19,0.694366, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
360,-96.1533,-14661.8,0.168001,-572.337,464,500,242.352,1,194,8.80781,24176,81.9668,36.0231,21,62,27,0.9040549999999999, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
370,-8249.68,-1363880.0,0.16980599999999998,-48583.1,468,500,248.28599999999997,1,194,8.83254,27143,91.1987,41.0212,31,71,24,0.782347, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
380,-16328.3,-4091630.0,0.17084000000000002,-95576.9,466,500,254.266,1,194,8.82054,30133,102.71,45.1086,32,61,28,0.9974200000000001, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
390,-16384.7,-2037980.0,0.171449,-95565.9,468,500,260.666,1,194,8.83254,33333,113.165,50.6031,42,79,26,1.01116, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
400,-24521.4,-2029150.0,0.170255,-144027.0,469,500,266.6,1,194,8.83405,36300,122.06200000000001,54.6734,43,96,23,0.9028459999999999, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
410,-207139000000000.0,-1.03569e+17,0.17135899999999998,-1208800000000000.0,466,500,271.94599999999997,1,194,8.824539999999999,38973,118.315,56.8123,43,75,27,0.9883870000000001, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
420,-634.347,-94733.8,0.174893,-3627.05,426,500,275.514,1,194,8.57405,40757,7.43186,61.2363,54,137,28,1.3959, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
430,-17077.8,-4091630.0,0.17416099999999998,-98058.0,463,500,281.622,1,273,8.81103,4311,15.7382,5.51443,2,11,25,1.01, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
440,-9001.07,-4091630.0,0.176672,-50947.8,456,500,287.572,1,273,8.73715,7286,26.853,9.9125,5,21,36,1.7726099999999998, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
450,-904.832,-101238.0,0.176099,-5138.19,444,500,293.592,1,273,8.7223,10296,37.9561,13.8436,5,31,24,1.27831, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
460,-907.0360000000001,-125392.0,0.17915699999999998,-5062.8,437,500,298.892,1,293,8.60641,2946,11.0604,3.89017,1,8,32,1.8489200000000001, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
470,-9030.54,-2045810.0,0.17999,-50172.4,442,500,305.35200000000003,1,293,8.69295,6176,22.8976,7.8577,3,18,33,1.8156, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
480,-1634.62,-408256.0,0.176126,-9281.01,443,500,310.822,1,293,8.7183,8911,33.4564,12.6359,5,28,31,1.16022, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
490,-9017.96,-1346670.0,0.177014,-50944.9,452,500,317.254,1,293,8.7585,12127,45.281000000000006,17.0241,9,38,33,1.54463, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
500,-9009.24,-4091630.0,0.17710599999999999,-50869.2,446,500,322.35200000000003,1,293,8.71895,14676,51.923,16.493,6,47,39,1.97186, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
510,-8984.19,-4033290.0,0.183721,-48901.1,431,500,329.962,1,293,8.63671,18481,38.3905,19.9675,12,58,47,2.98155, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
520,-8889.33,-4033290.0,0.181108,-49083.1,433,500,338.1,1,331,8.596689999999999,3550,8.75964,3.67651,1,12,46,2.61429, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
530,-1900.02,-516596.0,0.187891,-10112.3,448,500,345.6,1,341,8.70406,2300,9.18346,3.8605199999999997,1,11,39,1.9815, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
540,-17340.3,-4058290.0,0.189973,-91277.6,442,500,352.05800000000005,1,341,8.69075,5529,10.4039,3.7751,1,18,39,2.29699, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
550,-1821.85,-516596.0,0.186796,-9753.17,466,500,358.486,1,346,8.82054,6243,19.8919,7.11534,3,14,39,1.61638, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
560,-1537.41,-408256.0,0.19054200000000002,-8068.6,469,500,364.72,1,346,8.83503,9360,31.3813,11.544,6,24,41,1.3806100000000001, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
570,-8324.74,-2045810.0,0.187507,-44397.0,446,500,371.86400000000003,1,346,8.72348,12932,45.2381,16.5174,10,34,44,1.93567, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
580,-181.136,-49930.0,0.186149,-973.071,460,500,378.082,1,346,8.784239999999999,16041,55.7302,21.195999999999998,7,46,36,1.51166, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
590,-68.8696,-2325.32,0.187649,-367.01300000000003,454,500,384.43800000000005,1,346,8.76132,19219,67.6707,26.035999999999998,15,50,47,2.0916799999999998, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
600,-17358.4,-4008290.0,0.186649,-92999.9,436,500,390.4,1,347,8.61458,21700,29.3229,30.729,23,51,40,1.98108, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
610,-16501.6,-4091630.0,0.186675,-88397.6,440,500,397.024,1,347,8.66885,25012,57.9388,34.0886,28,56,43,2.08893, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
620,-16335.1,-4041630.0,0.187181,-87269.0,461,500,403.832,1,347,8.7985,28416,86.5052,39.5422,31,56,38,1.90222, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
630,-1096.77,-251540.0,0.18429600000000002,-5951.16,454,500,409.55800000000005,1,347,8.76303,31279,83.3588,42.4878,34,67,40,2.3736, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
640,-16397.4,-2029150.0,0.184949,-88659.4,437,500,415.74800000000005,1,347,8.65553,34374,97.7339,49.4454,43,76,49,2.25711, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
650,-17400.4,-4091630.0,0.187336,-92883.3,455,500,422.158,1,347,8.756789999999999,37579,112.42,54.169,42,75,43,2.1585900000000002, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
660,-8250.0,-4091630.0,0.18726199999999998,-44056.0,458,500,428.68800000000005,1,347,8.777519999999999,40844,126.035,59.2728,42,85,44,1.96606, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
670,-66.3122,-33244.1,0.18268800000000002,-362.981,454,500,434.39599999999996,1,347,8.761519999999999,43698,129.233,59.9548,48,137,49,2.3799099999999997, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
680,-66.3449,-16622.0,0.18276900000000001,-362.999,460,500,438.73800000000006,1,350,8.78328,44369,147.798,68.8255,62,86,41,1.79161, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
690,-8301.46,-2045810.0,0.18725899999999998,-44331.3,436,500,442.918,1,350,8.643130000000001,46459,123.04299999999999,74.2827,64,101,42,2.1163, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
700,-8249.56,-4091630.0,0.184373,-44743.9,439,500,450.50199999999995,1,350,8.68753,50251,165.118,75.3368,42,102,43,2.03317, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
710,-8185.48,-4058290.0,0.183265,-44664.7,452,500,455.70599999999996,1,350,8.74577,52853,160.84,81.5302,58,111,40,2.05242, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
720,-8250.22,-4091630.0,0.183754,-44898.3,450,500,460.912,1,350,8.72708,55456,171.185,88.4157,80,159,39,1.8019, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
730,-66.3104,-3022.19,0.185705,-357.074,453,500,467.624,1,350,8.75332,58812,190.917,92.5796,72,131,39,2.0068599999999996, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
740,-9651.77,-4058290.0,0.18490299999999998,-52199.0,440,500,472.81800000000004,1,350,8.67797,61409,107.939,97.8053,73,149,41,1.85175, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
750,-11010.0,-2045810.0,0.185329,-59408.0,454,500,477.05800000000005,1,350,8.74957,63529,186.37900000000002,103.25399999999999,66,190,42,1.99141, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
760,-8133.75,-4033290.0,0.18746400000000002,-43388.3,467,500,481.926,1,350,8.82703,65963,180.612,108.251,56,223,43,2.01131, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
770,-16466.7,-4091630.0,0.184123,-89433.3,450,500,489.75800000000004,1,350,8.741769999999999,69879,207.545,113.01899999999999,102,150,37,1.7134, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
780,-125.977,-14913.7,0.186248,-676.3919999999999,440,500,498.17,1,350,8.68104,74085,143.891,116.335,104,145,39,2.0418, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
790,-19331.6,-4091630.0,0.188944,-102314.0,456,500,502.80400000000003,1,350,8.77352,76402,218.44400000000002,124.19,114,159,33,1.54948, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
800,-8249.77,-4091630.0,0.187325,-44039.9,443,500,509.722,1,350,8.679,79861,214.935,126.7,114,141,47,2.2810599999999996, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
